nombre,clase,parte_planta,nombres_en_repo,SMILES_canonico,InChIKey,formula,MW_calculado,MW_repo,carga_formal,estado_ionico,archivo_sdf,E_MMFF_kcal_mol
Quercetín-3-malonilgalactosido,Flavonol,fruto,Quercetín-3-malonilgalactosido,O=C(O)CC(=O)OC[C@H]1O[C@H]2OC(=C3Oc4cc(O)cc(O)c4C=C(O)C(O)=CC=C3[C@H](O)[C@@H](O)[C@H]1O)C2=O,SPHQJXJKURTGBW-AEZSFPNCSA-N,C24H22O15,550.43,550.5,0,neutro,sdf/SPHQJXJKURTGBW-AEZSFPNCSA-N.sdf,143.76
Quercetín-3-malonilglucósido,Flavonol,fruto,Quercetín-3-malonilglucósido,O=C(O)CC(=O)OC[C@H]1O[C@H]2OC(=C3Oc4cc(O)cc(O)c4C=C(O)C(O)=CC=C3[C@H](O)[C@@H](O)[C@@H]1O)C2=O,SPHQJXJKURTGBW-RDKBWNCDSA-N,C24H22O15,550.43,550.5,0,neutro,sdf/SPHQJXJKURTGBW-RDKBWNCDSA-N.sdf,143.17
Isorhamnetín-3-rutinosido,Flavonol,fruto,Isorhamnetín-3-rutinosido,COC1=Cc2c(O)cc(O)cc2OC2=C3O[C@H](O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@@H](O)C2=CC=C1O)C3=O,OPTNFNUJWZCIGB-BIKOSTKOSA-N,C28H32O16,624.55,624.5,0,neutro,sdf/OPTNFNUJWZCIGB-BIKOSTKOSA-N.sdf,278.25
Isorhamnetín-3-galactosido,Flavonol,fruto,Isorhamnetín-3-galactosido,COC1=Cc2c(O)cc(O)cc2OC2=C3O[C@H](O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)C2=CC=C1O)C3=O,UMHINPBLAJFHOB-RSVWRCHESA-N,C22H22O12,478.41,478.4,0,neutro,sdf/UMHINPBLAJFHOB-RSVWRCHESA-N.sdf,204.54
Quercetín-3-rhamnosido,Flavonol,fruto,Quercetín-3-rhamnosido,C[C@@H]1O[C@@H]2OC(=C3Oc4cc(O)cc(O)c4C=C(O)C(O)=CC=C3[C@H](O)[C@@H](O)[C@H]1O)C2=O,IAXDZIGIBHKHRV-DEGXXVNDSA-N,C21H20O11,448.38,448.4,0,neutro,sdf/IAXDZIGIBHKHRV-DEGXXVNDSA-N.sdf,188.93
Kaempferol-3-glucósido,Flavonol,hojas,Kaempferol-3-glucósido,O=C1C2=C3Oc4cc(O)cc(O)c4C=CC(O)=CC=C3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O2,DZFHWXFXTFPAOE-JUEKAOKDSA-N,C21H20O11,448.38,448.4,0,neutro,sdf/DZFHWXFXTFPAOE-JUEKAOKDSA-N.sdf,188.17
Quercetina,Flavonol,hojas,Quercetina,O=C1C2=CC=C(O)C(O)=Cc3c(O)cc(O)cc3OC2=C1O,XTAUXAINDDZIRC-UHFFFAOYSA-N,C15H10O7,302.24,302.2,0,neutro,sdf/XTAUXAINDDZIRC-UHFFFAOYSA-N.sdf,70.67
Isorhamnetina,Flavonol,hojas,Isorhamnetina,COC1=Cc2c(O)cc(O)cc2OC2=C(O)C(=O)C2=CC=C1O,MMGAZLMNEKBPHW-UHFFFAOYSA-N,C16H12O7,316.27,316.3,0,neutro,sdf/MMGAZLMNEKBPHW-UHFFFAOYSA-N.sdf,83.9
Luteolina,Flavona,hojas,Luteolina,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IQPNAANSBPBGFQ-UHFFFAOYSA-N,C15H10O6,286.24,286.2,0,neutro,sdf/IQPNAANSBPBGFQ-UHFFFAOYSA-N.sdf,19.49
Vitexina,Flavona,hojas,Vitexina,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,SGEWCQFRYRRZDC-VPRICQMDSA-N,C21H20O10,432.38,432.4,0,neutro,sdf/SGEWCQFRYRRZDC-VPRICQMDSA-N.sdf,128.11
Catequina,Flavan-3-ol,hojas|tallo,Catequina,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,PFTAWBLQPZVEMU-DZGCQCFKSA-N,C15H14O6,290.27,290.3,0,neutro,sdf/PFTAWBLQPZVEMU-DZGCQCFKSA-N.sdf,43.34
Epicatequina,Flavan-3-ol,hojas|tallo,Epicatequina,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,PFTAWBLQPZVEMU-UKRRQHHQSA-N,C15H14O6,290.27,290.3,0,neutro,sdf/PFTAWBLQPZVEMU-UKRRQHHQSA-N.sdf,42.94
Ácido Cafeico,Ác. Hidroxicinámico,hojas|tallo,Ácido Cafeico,O=C(O)/C=C/c1ccc(O)c(O)c1,QAIPRVGONGVQAS-DUXPYHPUSA-N,C9H8O4,180.16,180.2,0,neutro,sdf/QAIPRVGONGVQAS-DUXPYHPUSA-N.sdf,-23.98
Ácido Ferúlico,Ác. Hidroxicinámico,hojas,Ácido Ferúlico,COc1cc(/C=C/C(=O)O)ccc1O,KSEBMYQBYZTDHS-HWKANZROSA-N,C10H10O4,194.19,194.2,0,neutro,sdf/KSEBMYQBYZTDHS-HWKANZROSA-N.sdf,-10.04
Ácido Clorogénico (5-cafeoilquínico),Ác. Hidroxicinámico,fruto|hojas|tallo,5-Cafeoilquínico (5-CQ)|Ácido Clorogénico,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1C[C@@](O)(C(=O)O)C[C@@H](O)[C@H]1O,CWVRJTMFETXNAD-QEPAVKMUSA-N,C16H18O9,354.31,354.3,0,neutro,sdf/CWVRJTMFETXNAD-QEPAVKMUSA-N.sdf,39.03
3-Cafeoilquínico,Ác. Hidroxicinámico,fruto,Cafeoilquínico (CQ),O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@@H]1O,GYFFKZTYYAFCTR-DHLOTTMOSA-N,C16H18O9,354.31,354.3,0,neutro,sdf/GYFFKZTYYAFCTR-DHLOTTMOSA-N.sdf,44.0
4-Cafeoilquínico,Ác. Hidroxicinámico,fruto,4-Cafeoilquínico (4-CQ),O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@@H](O)C[C@@](O)(C(=O)O)C[C@@H]1O,GYFFKZTYYAFCTR-ZZVAFGPTSA-N,C16H18O9,354.31,354.3,0,neutro,sdf/GYFFKZTYYAFCTR-ZZVAFGPTSA-N.sdf,46.1
"3,5-Dicafeoilquínico",Ác. Hidroxicinámico,fruto,"3,5-Dicafeoilquínico (3,5-DCQ)",O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@@H]1O,KRZBCHWVBQOTNZ-CPYUJKAUSA-N,C25H24O12,516.46,516.4,0,neutro,sdf/KRZBCHWVBQOTNZ-CPYUJKAUSA-N.sdf,31.75
Cafeoilglucárico (isómeros A–D),Ác. Hidroxicinámico,fruto,Cafeoilglucárico A (CGI-A)|Cafeoilglucárico B (CGI-B)|Cafeoilglucárico C (CGI-C)|Cafeoilglucárico D (CGI-D),O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,OMIXKOJEIRRAJW-HLWOJZJGSA-N,C15H16O11,372.28,370.3,0,neutro,sdf/OMIXKOJEIRRAJW-HLWOJZJGSA-N.sdf,42.9
Dicafeoilglucárico,Ác. Hidroxicinámico,fruto,"4,5-Dicafeoilglucárico (4,5-DCQ)|Dicafeoilglucárico (DCgluc)",O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]([C@H](O)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O)[C@@H](O)C(=O)O,ZQGMKFHEDFDRLZ-BYCAZERCSA-N,C24H22O14,534.43,516.4,0,neutro,sdf/ZQGMKFHEDFDRLZ-BYCAZERCSA-N.sdf,18.8
Ácido Gálico,Ác. Hidroxibenzoico,hojas|tallo,Ácido Gálico,O=C(O)c1cc(O)c(O)c(O)c1,LNTHITQWFMADLM-UHFFFAOYSA-N,C7H6O5,170.12,170.1,0,neutro,sdf/LNTHITQWFMADLM-UHFFFAOYSA-N.sdf,-12.23
Ácido Protocatéquico,Ác. Hidroxibenzoico,tallo,Ácido Protocatéquico,O=C(O)c1ccc(O)c(O)c1,YQUVCSBJEUQKSH-UHFFFAOYSA-N,C7H6O4,154.12,154.1,0,neutro,sdf/YQUVCSBJEUQKSH-UHFFFAOYSA-N.sdf,-5.95
Ácido Vanílico,Ác. Hidroxibenzoico,tallo,Ácido Vanílico,COc1cc(C(=O)O)ccc1O,WKOLLVMJNQIZCI-UHFFFAOYSA-N,C8H8O4,168.15,168.1,0,neutro,sdf/WKOLLVMJNQIZCI-UHFFFAOYSA-N.sdf,7.49
Ácido Elágico,Ác. Hidroxibenzoico,fruto|tallo,Ácido Elágico,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,AFSDNFLWKVMVRB-UHFFFAOYSA-N,C14H6O8,302.19,302.2,0,neutro,sdf/AFSDNFLWKVMVRB-UHFFFAOYSA-N.sdf,59.62
Procianidina B1,Tanino Condensado,fruto|tallo,Proantocianidina B1|Procianidina B1,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)[C@@H]2[C@H]1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,UPSCCKSYXWBZPX-FSIJYMTBSA-N,C30H26O12,578.53,578.5,0,neutro,sdf/UPSCCKSYXWBZPX-FSIJYMTBSA-N.sdf,101.02
Procianidina B2,Tanino Condensado,fruto|hojas|tallo,Proantocianidina B2|Procianidina B2,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@H](O)[C@@H]2[C@H]1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@@H]1O,UPSCCKSYXWBZPX-KWKLTRBOSA-N,C30H26O12,578.53,578.5,0,neutro,sdf/UPSCCKSYXWBZPX-KWKLTRBOSA-N.sdf,96.79
"Berberina (*alcaloide, no polifenol)",Alcaloide isoquinolínico,tallo,Berberina (*alcaloide),COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,C20H18NO4+,336.37,336.4,1,catión cuaternario,sdf/YBHILYKTIRIUTE-UHFFFAOYSA-N.sdf,100.45
